     64/99     1.71G   0.02921   0.04022  0.002416   0.07185        30       640     0.832    0.8282    0.8618    0.4778   0.03113   0.03425  0.004901
     65/99     1.71G   0.02891   0.04028  0.002469   0.07166        56       640    0.8397    0.8287    0.8569    0.4778   0.03096   0.03461  0.004409
     66/99     1.71G   0.02888   0.04119  0.002541    0.0726        79       640    0.8279     0.835    0.8601    0.4766   0.03087   0.03498  0.004418
     67/99     1.71G   0.02882   0.04046  0.002483   0.07176        61       640    0.8437    0.8089    0.8589    0.4808   0.03086   0.03456  0.004166
     68/99     1.71G   0.02889   0.03998  0.002402   0.07128        76       640    0.8403    0.8345    0.8586    0.4737   0.03092   0.03481  0.004491
     69/99     1.71G   0.02869   0.03991  0.002364   0.07096        57       640    0.8341    0.8292    0.8628    0.4799   0.03082   0.03473  0.004581
     70/99     1.71G   0.02869   0.03969  0.002405   0.07078        60       640    0.8286    0.8259    0.8588    0.4759   0.03093   0.03522  0.004786
     71/99     1.71G   0.02822   0.03945  0.002342   0.07001        60       640    0.8596    0.7992    0.8552    0.4787    0.0307   0.03487  0.004575
     72/99     1.71G   0.02828   0.03887  0.002386   0.06954        57       640    0.8291     0.826    0.8543    0.4768    0.0311   0.03488    0.0045
     73/99     1.71G   0.02821   0.03851  0.002311   0.06903        72       640    0.8501    0.8213    0.8591    0.4783   0.03106   0.03541  0.004894
     74/99     1.71G   0.02783   0.03955  0.002187   0.06957        34       640    0.8673    0.8102    0.8639    0.4808   0.03095   0.03507  0.004575
     75/99     1.71G   0.02807   0.03983  0.002166   0.07006        61       640    0.8566     0.807    0.8622    0.4801   0.03098   0.03504  0.004479
     76/99     1.71G   0.02776   0.03831  0.002247   0.06832        51       640    0.8531    0.8107    0.8585    0.4772   0.03108   0.03521  0.004787
     77/99     1.71G   0.02765   0.03899  0.002285   0.06892        47       640    0.8404    0.8342    0.8601     0.478   0.03094   0.03502  0.004408
     78/99     1.71G   0.02764   0.03844  0.002183   0.06826        61       640    0.8436    0.8306    0.8595    0.4746   0.03094   0.03534  0.004749
     79/99     1.71G   0.02753   0.03772  0.002121   0.06737        54       640    0.8356    0.8254    0.8601    0.4788   0.03099   0.03524  0.004178
